Total Print Distance,X-Printer 1,Y-Printer 1,X-Printer 2,Y-Printer 2,X-Printer 3,Y-Printer 3,X-Printer 4,Y-Printer 4,X-Printer 5,Y-Printer 5
248709.806033,355.986867094,182.094080294,426.684362604,443.846718753,725.194326993,290.324815793,563.274702501,754.171385539,765.211995732,637.442825118
251425.857252,470.657571768,72.0339271771,167.317479014,643.843675787,670.966629984,10.3805959411,98.1673207049,815.250500804,634.235009442,931.870318379
296616.322142,495.843798272,69.8986054066,775.505449977,182.742360679,25.2537841452,803.689086596,466.288136705,945.758971448,509.577662536,1005.15206287
200307.103676,357.554898533,350.901764894,671.303902503,113.155121262,364.905079696,759.995184007,109.2683374,844.007060029,559.183329925,824.483316328
220935.310795,60.6542917459,256.438098857,635.04932947,314.347691699,115.974503047,730.996961388,469.941337344,579.768736439,342.464296548,702.68886336
265433.361104,324.891469276,222.726500133,329.098632041,292.072937853,428.468785805,728.587615146,0.166196403375,995.303522767,736.971498737,899.487833063
208019.096143,327.599850976,194.728579536,45.4829596703,457.460334881,585.337362173,170.297302647,554.654991835,512.125146002,369.128509937,659.578779686
283588.934017,84.4782200169,242.643775305,377.474193508,266.961123942,470.296880621,775.699085829,493.969561531,899.527046506,646.966262796,907.194362948
246650.511867,437.542547378,70.4713713779,253.650668896,610.039010991,10.659434334,679.857217452,426.332189769,610.521965325,449.155702603,930.129169225
194455.03131,490.7508182,225.746719698,213.281486564,608.207799487,476.932888297,526.26957198,552.830259026,552.921715345,433.297535509,950.996459997
325796.07418,80.2864622928,40.2017382068,91.0095132872,170.12086493,285.832799383,247.995461597,149.121920908,610.156485005,92.8800195505,813.792121571
256672.128526,229.616425381,654.136864035,689.469359906,466.422338298,223.385658326,867.507222606,748.014218865,540.50107116,190.554380551,977.093062249
196865.887696,131.78410455,108.833608397,346.223441409,157.514098345,602.703713933,156.067501942,173.048327317,693.188603961,554.90845632,584.437262857
297244.769952,413.24078755,9.96837948185,210.519528142,465.158971146,41.0153304411,585.723029485,430.358855103,800.768757279,505.886496125,811.051114975
256169.626735,264.214167474,314.91802653,408.786054686,242.793762176,98.0330081073,558.805107883,618.550905736,327.300759393,696.598881267,292.887793526
300546.788131,377.948845184,79.9390745868,399.369192731,59.6123183971,140.139026299,397.443078869,438.105963569,816.14801056,619.691041717,917.155367376
289521.492622,330.56267804,38.8463985156,114.534010405,374.549149019,199.492617567,373.46234879,584.194835311,418.220513505,770.582607779,627.986066452
252788.20991,211.32346119,112.646676347,380.677125528,194.463752804,383.663988176,503.672648534,434.221841741,953.586707659,618.651403485,921.460725805
299486.432317,19.1409854848,90.1075127905,317.323206307,512.846002276,261.566367431,812.879161672,582.037027076,743.854094679,332.356546335,999.017879852
210887.268857,118.377095954,368.224824268,285.975913906,440.941216615,522.292929893,160.861235663,677.957797083,360.903323227,282.687852223,954.28004007
188294.789652,87.4581064486,150.772348697,161.84268002,330.818852423,529.946538047,313.27025173,222.51492491,710.672360306,655.667022006,916.61304614
251832.678947,121.882984403,195.753623867,334.316614156,529.858226538,255.655153159,596.764553465,746.366666651,283.494600343,751.552939407,428.628289187
284176.219581,151.794512233,44.3458400437,287.653836412,94.6436751459,340.953858386,430.182478883,21.4404598095,928.077646375,587.295396849,998.553281296
383698.35272,158.751901438,877.050555655,44.577805787,907.151308137,705.927878799,658.257290266,385.288462619,908.788917664,776.787448565,873.213655371
308804.897833,239.79657211,130.291502029,82.5877330716,427.11644127,74.0699856726,492.969995658,711.018463433,334.246760956,768.497271798,398.051589353
195077.112561,244.577113415,317.726866564,687.361003199,168.62020425,536.261978229,649.501083454,260.335656207,824.48335901,721.494588485,704.799617618
206685.856408,234.13486071,174.41094119,473.985729453,321.641041295,201.407650199,671.813605563,415.935829275,588.35348958,247.406955371,896.602719834
243480.818862,64.8686299513,448.038052536,746.152484722,8.19790485613,652.89535733,482.97141588,34.7729846356,825.91770275,704.111461269,986.49164823
391854.020725,33.7613724208,63.4241535721,11.2256188932,87.367509971,123.989582616,40.6360554149,624.154929453,475.251815484,720.47116756,657.191329415
283479.751431,279.95984229,297.949583596,520.310145254,317.050860013,643.342142533,305.91444482,715.085042642,773.94007063,778.222604451,809.47007202
421179.608635,79.9966345355,33.071708561,184.089178735,352.38320736,40.1096112114,539.688482686,177.415160139,525.702125439,86.4255173732,565.251309641
253654.452412,453.876824849,399.511525216,639.696436987,555.967092117,365.118832483,988.835546773,638.578231295,936.403784362,743.076366712,932.028424418
262704.259123,152.278037607,426.519735975,229.195750586,505.808051948,567.782017566,32.3206785286,393.206364322,968.74759458,707.03433035,913.987398886
220863.243113,648.060821741,211.264591825,329.570495323,640.970139224,621.389070218,650.588534649,510.603033315,752.606767273,665.406329017,929.995417099
207557.002578,289.750300348,244.325023839,674.296588358,308.451648502,282.966363703,836.784332727,465.991417936,810.292979066,32.7895900706,943.527313164
214071.331864,508.230674134,210.146498689,437.948256457,378.10158047,359.590020651,631.65632338,449.836011683,597.54509306,762.042840054,868.854411648
345047.009865,30.8601330571,19.7621223224,167.650328461,523.032566085,276.561515921,571.53790828,335.816277814,592.008779196,294.814083231,825.138636862
270272.470122,57.0847406709,67.3346623207,466.458222375,465.830525815,383.994114785,790.841051746,651.76758089,751.97664743,547.95637951,877.936355032
284735.534662,1.4566220443,322.112014536,383.744961759,97.369504403,63.8204025991,688.743059733,600.308411525,820.812664899,660.124606772,936.928686574
214726.760989,452.448893237,180.503186276,216.123106991,531.358265503,70.8777613794,698.077937024,391.913353795,651.288805004,604.442701714,870.638755898
243959.554908,262.730769234,172.744204226,152.662013506,393.745836456,652.059166691,252.786085927,506.161809525,837.062933176,510.139262025,916.881097112
312696.037376,221.950357941,220.756007426,26.4460958129,385.286312614,229.237424319,336.740350546,776.792851903,241.178218687,734.893155948,831.514130096
220704.025061,433.1731058,155.989700863,522.860839749,15.4990199818,294.24262373,585.404627528,34.161372004,898.149856123,769.267725502,543.403182507
238524.417097,556.424473544,351.153454881,724.860863139,357.105696284,428.478844281,745.170151331,710.81138138,571.9127093,720.702794618,804.549679215
198935.291292,510.419992934,261.036079125,567.360576168,163.359716907,272.853604828,712.09023705,702.769052668,691.477458735,739.841568721,727.871169305
274929.184258,51.4275423356,310.3251805,400.935827454,29.5847984333,520.294764696,630.416902645,746.442351259,585.076242277,319.858734094,945.717245904
282108.557537,184.37199278,66.871787045,296.723406198,6.95444355627,637.998827523,102.057977647,610.448338282,498.351545988,541.577368228,779.773681988
279037.879987,243.0357478,453.69190466,117.141262019,647.717787047,185.568773217,795.765580405,250.508556396,906.582485521,688.823657894,693.858990591
281770.769129,92.8311534104,381.363647345,242.389416847,353.396785056,186.608399938,764.008205373,387.730755644,735.431227885,609.394757438,960.898555915
429246.630092,79.5671973549,610.352986174,77.2589821839,681.490534059,60.4558303197,998.928671356,100.573453338,1007.3036392,776.776530353,817.83870898
